message,is_spam,categories,username,ip,user_agent,timestamp
"hello interns,

welcome to the unified mentor internship program. we are excited to have you on board! to help you get started, we have scheduled an induction session that will provide key insights into our company, the program, and your role.

induction session details
date: april 16th, 2025
time: 11:00 am (ist)
platform: google meet (link will be shared in the whatsapp group)

stipend information
as part of this internship, you will receive a stipend of 7499-15000, which will be processed upon completion of your internship. further details regarding stipend disbursement will be covered during the induction session.

next steps
join our official whatsapp group to receive updates and access the google meet link:

join whatsapp group: https://chat.whatsapp.com/biufgpoz5fe4arto2vxr7c
 
 please confirm your attendance by joining the whatsapp group.

if you have already attended the session or are familiar with the program, you may disregard this email.

we look forward to meeting you and embarking on this exciting journey together!

best regards,
hiring team
unified mentor",FALSE,[],admin,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,2025-04-18T05:37:58.240721
"hello interns,

welcome to the unified mentor internship program. we are excited to have you on board! to help you get started, we have scheduled an induction session that will provide key insights into our company, the program, and your role.

induction session details
date: april 16th, 2025
time: 11:00 am (ist)
platform: google meet (link will be shared in the whatsapp group)

stipend information
as part of this internship, you will receive a stipend of 7499-15000, which will be processed upon completion of your internship. further details regarding stipend disbursement will be covered during the induction session.

next steps
join our official whatsapp group to receive updates and access the google meet link:

join whatsapp group: https://chat.whatsapp.com/biufgpoz5fe4arto2vxr7c
 
 please confirm your attendance by joining the whatsapp group.

if you have already attended the session or are familiar with the program, you may disregard this email.

we look forward to meeting you and embarking on this exciting journey together!

best regards,
hiring team
unified mentor",FALSE,[],admin,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,2025-04-18T05:38:01.111271
"hello interns,

welcome to the unified mentor internship program. we are excited to have you on board! to help you get started, we have scheduled an induction session that will provide key insights into our company, the program, and your role.

induction session details
date: april 16th, 2025
time: 11:00 am (ist)
platform: google meet (link will be shared in the whatsapp group)

stipend information
as part of this internship, you will receive a stipend of 7499-15000, which will be processed upon completion of your internship. further details regarding stipend disbursement will be covered during the induction session.

next steps
join our official whatsapp group to receive updates and access the google meet link:

join whatsapp group: https://chat.whatsapp.com/biufgpoz5fe4arto2vxr7c
 
 please confirm your attendance by joining the whatsapp group.

if you have already attended the session or are familiar with the program, you may disregard this email.

we look forward to meeting you and embarking on this exciting journey together!

best regards,
hiring team
unified mentor",FALSE,[],john,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,2025-04-18T05:38:56.343575
"hello interns,

welcome to the unified mentor internship program. we are excited to have you on board! to help you get started, we have scheduled an induction session that will provide key insights into our company, the program, and your role.

induction session details
date: april 16th, 2025
time: 11:00 am (ist)
platform: google meet (link will be shared in the whatsapp group)

stipend information
as part of this internship, you will receive a stipend of 7499-15000, which will be processed upon completion of your internship. further details regarding stipend disbursement will be covered during the induction session.

next steps
join our official whatsapp group to receive updates and access the google meet link:

join whatsapp group: https://chat.whatsapp.com/biufgpoz5fe4arto2vxr7c
 
 please confirm your attendance by joining the whatsapp group.

if you have already attended the session or are familiar with the program, you may disregard this email.

we look forward to meeting you and embarking on this exciting journey together!

best regards,
hiring team
unified mentor",FALSE,[],john,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,2025-04-18T05:38:59.597307
"congrats! you are shortlisted for an “online group discussion” of coditas solutions llp, pune | hiring for “intern (software development)” as fresher | recruitment drive organized by vibrantminds technologies pvt. ltd. | 
 
greetings from vibrantminds technologies pvt. ltd. – a campus recruitment and online assessment & it training solutions company!
 
we, vibrantminds are happy to announce that the following candidates have been shortlisted for the online group discussion.
 
 online group discussion schedule & further details:
 
company name: coditas solutions llp, pune
position: intern (software development)
internship duration: 06 months
approx. stipend during internship: upto rs. 11,000/- per month.
approx. package post internship: upto rs. 4,50,000/- per annum
(based on performance during the internship, with a potential ctc of 4.5 lpa)
job location: pune
 
next process: online group discussion
date & time: today, 15th april 2025 at 03.00 pm sharp
 
google meet link: https://meet.google.com/ujh-hkpx-kqk
 
regards,
vibrantminds technologies pvt. ltd.
visit us: www.vibrantmindstech.com (http://www.vibrantmindstech.com/)  | 9503579517 |
address: 2nd floor, viva building, near st. mary’s church & vardhman petrol pump, mumbai- bangalore highway, warje, pune 411058
check our success stories: https://vibrantmindssuccessstories.blogspot.com/
instagram: https://www.instagram.com/vibrantminds_technologies/",FALSE,[],john,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,2025-04-18T05:47:26.952393
"congrats! you are shortlisted for an “online group discussion” of coditas solutions llp, pune | hiring for “intern (software development)” as fresher | recruitment drive organized by vibrantminds technologies pvt. ltd. | 
 
greetings from vibrantminds technologies pvt. ltd. – a campus recruitment and online assessment & it training solutions company!
 
we, vibrantminds are happy to announce that the following candidates have been shortlisted for the online group discussion.
 
 online group discussion schedule & further details:
 
company name: coditas solutions llp, pune
position: intern (software development)
internship duration: 06 months
approx. stipend during internship: upto rs. 11,000/- per month.
approx. package post internship: upto rs. 4,50,000/- per annum
(based on performance during the internship, with a potential ctc of 4.5 lpa)
job location: pune
 
next process: online group discussion
date & time: today, 15th april 2025 at 03.00 pm sharp
 
google meet link: https://meet.google.com/ujh-hkpx-kqk
 
regards,
vibrantminds technologies pvt. ltd.
visit us: www.vibrantmindstech.com (http://www.vibrantmindstech.com/)  | 9503579517 |
address: 2nd floor, viva building, near st. mary’s church & vardhman petrol pump, mumbai- bangalore highway, warje, pune 411058
check our success stories: https://vibrantmindssuccessstories.blogspot.com/
instagram: https://www.instagram.com/vibrantminds_technologies/",FALSE,[],john,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,2025-04-18T05:47:30.608616
"congrats! you are shortlisted for an “online group discussion” of coditas solutions llp, pune | hiring for “intern (software development)” as fresher | recruitment drive organized by vibrantminds technologies pvt. ltd. | 
 
greetings from vibrantminds technologies pvt. ltd. – a campus recruitment and online assessment & it training solutions company!
 
we, vibrantminds are happy to announce that the following candidates have been shortlisted for the online group discussion.
 
 online group discussion schedule & further details:
 
company name: coditas solutions llp, pune
position: intern (software development)
internship duration: 06 months
approx. stipend during internship: upto rs. 11,000/- per month.
approx. package post internship: upto rs. 4,50,000/- per annum
(based on performance during the internship, with a potential ctc of 4.5 lpa)
job location: pune
 
next process: online group discussion
date & time: today, 15th april 2025 at 03.00 pm sharp
 
google meet link: https://meet.google.com/ujh-hkpx-kqk
 
regards,
vibrantminds technologies pvt. ltd.
visit us: www.vibrantmindstech.com (http://www.vibrantmindstech.com/)  | 9503579517 |
address: 2nd floor, viva building, near st. mary’s church & vardhman petrol pump, mumbai- bangalore highway, warje, pune 411058
check our success stories: https://vibrantmindssuccessstories.blogspot.com/
instagram: https://www.instagram.com/vibrantminds_technologies/",FALSE,[],john,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,2025-04-18T05:55:22.370293
"congrats! you are shortlisted for an “online group discussion” of coditas solutions llp, pune | hiring for “intern (software development)” as fresher | recruitment drive organized by vibrantminds technologies pvt. ltd. | 
 
greetings from vibrantminds technologies pvt. ltd. – a campus recruitment and online assessment & it training solutions company!
 
we, vibrantminds are happy to announce that the following candidates have been shortlisted for the online group discussion.
 
 online group discussion schedule & further details:
 
company name: coditas solutions llp, pune
position: intern (software development)
internship duration: 06 months
approx. stipend during internship: upto rs. 11,000/- per month.
approx. package post internship: upto rs. 4,50,000/- per annum
(based on performance during the internship, with a potential ctc of 4.5 lpa)
job location: pune
 
next process: online group discussion
date & time: today, 15th april 2025 at 03.00 pm sharp
 
google meet link: https://meet.google.com/ujh-hkpx-kqk
 
regards,
vibrantminds technologies pvt. ltd.
visit us: www.vibrantmindstech.com (http://www.vibrantmindstech.com/)  | 9503579517 |
address: 2nd floor, viva building, near st. mary’s church & vardhman petrol pump, mumbai- bangalore highway, warje, pune 411058
check our success stories: https://vibrantmindssuccessstories.blogspot.com/
instagram: https://www.instagram.com/vibrantminds_technologies/",FALSE,[],john,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,2025-04-18T05:55:25.479421
"dear candidate,
thank you for your interest in avasoft. after careful preliminary evaluation, we regret to inform you that we will not be moving forward with your application at this time. this may be due to incomplete or inaccurate information, or the details not suiting the basic expectations of the job role, or other factors.
we appreciate your time and effort and wish you the best in your job search.
regards,
aishwarya kesavan
hr executive - avasoft
alpha city (sspdl), 3rd floor | beta block, navalur | ch – 600 130
www.avasoft.com (http://www.avasoft.com/)


the contents of this e-mail and any attachment(s) are confidential and intended for the named recipient(s) only. e-mail transmission is not guaranteed to be secure or error-free as information could be intercepted, corrupted, lost, destroyed, arrive late or incomplete, or may contain viruses in transmission. the email and its contents (with or without referred errors) shall therefore not attach any liability on the originator or avasoft or its affiliates. views or opinions, if any, presented in this email are solely those of the author and may not necessarily reflect the views or opinions of avasoft or its affiliates. any form of reproduction, dissemination, copying, disclosure, modification, distribution and / or publication of this message without the prior written consent of authorized representative of avasoft is strictly prohibited. if you have received this email in error please delete it and notify the sender immediately. before opening any email and/or attachments, please check them for viruses and other defects.l",TRUE,[],admin,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,2025-04-19T00:57:08.458085
"dear candidate,
thank you for your interest in avasoft. after careful preliminary evaluation, we regret to inform you that we will not be moving forward with your application at this time. this may be due to incomplete or inaccurate information, or the details not suiting the basic expectations of the job role, or other factors.
we appreciate your time and effort and wish you the best in your job search.
regards,
aishwarya kesavan
hr executive - avasoft
alpha city (sspdl), 3rd floor | beta block, navalur | ch – 600 130
www.avasoft.com (http://www.avasoft.com/)


the contents of this e-mail and any attachment(s) are confidential and intended for the named recipient(s) only. e-mail transmission is not guaranteed to be secure or error-free as information could be intercepted, corrupted, lost, destroyed, arrive late or incomplete, or may contain viruses in transmission. the email and its contents (with or without referred errors) shall therefore not attach any liability on the originator or avasoft or its affiliates. views or opinions, if any, presented in this email are solely those of the author and may not necessarily reflect the views or opinions of avasoft or its affiliates. any form of reproduction, dissemination, copying, disclosure, modification, distribution and / or publication of this message without the prior written consent of authorized representative of avasoft is strictly prohibited. if you have received this email in error please delete it and notify the sender immediately. before opening any email and/or attachments, please check them for viruses and other defects.l",FALSE,[],admin,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,2025-04-19T01:06:53.303247
"dear candidate,
thank you for your interest in avasoft. after careful preliminary evaluation, we regret to inform you that we will not be moving forward with your application at this time. this may be due to incomplete or inaccurate information, or the details not suiting the basic expectations of the job role, or other factors.
we appreciate your time and effort and wish you the best in your job search.
regards,
aishwarya kesavan
hr executive - avasoft
alpha city (sspdl), 3rd floor | beta block, navalur | ch – 600 130
www.avasoft.com (http://www.avasoft.com/)


the contents of this e-mail and any attachment(s) are confidential and intended for the named recipient(s) only. e-mail transmission is not guaranteed to be secure or error-free as information could be intercepted, corrupted, lost, destroyed, arrive late or incomplete, or may contain viruses in transmission. the email and its contents (with or without referred errors) shall therefore not attach any liability on the originator or avasoft or its affiliates. views or opinions, if any, presented in this email are solely those of the author and may not necessarily reflect the views or opinions of avasoft or its affiliates. any form of reproduction, dissemination, copying, disclosure, modification, distribution and / or publication of this message without the prior written consent of authorized representative of avasoft is strictly prohibited. if you have received this email in error please delete it and notify the sender immediately. before opening any email and/or attachments, please check them for viruses and other defects.l",TRUE,[],admin,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,2025-04-19T01:07:21.347730
"dear candidate,
thank you for your interest in avasoft. after careful preliminary evaluation, we regret to inform you that we will not be moving forward with your application at this time. this may be due to incomplete or inaccurate information, or the details not suiting the basic expectations of the job role, or other factors.
we appreciate your time and effort and wish you the best in your job search.
regards,
aishwarya kesavan
hr executive - avasoft
alpha city (sspdl), 3rd floor | beta block, navalur | ch – 600 130
www.avasoft.com (http://www.avasoft.com/)


the contents of this e-mail and any attachment(s) are confidential and intended for the named recipient(s) only. e-mail transmission is not guaranteed to be secure or error-free as information could be intercepted, corrupted, lost, destroyed, arrive late or incomplete, or may contain viruses in transmission. the email and its contents (with or without referred errors) shall therefore not attach any liability on the originator or avasoft or its affiliates. views or opinions, if any, presented in this email are solely those of the author and may not necessarily reflect the views or opinions of avasoft or its affiliates. any form of reproduction, dissemination, copying, disclosure, modification, distribution and / or publication of this message without the prior written consent of authorized representative of avasoft is strictly prohibited. if you have received this email in error please delete it and notify the sender immediately. before opening any email and/or attachments, please check them for viruses and other defects.l",TRUE,[],admin,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,2025-04-19T01:07:37.516484
"dear candidate,
thank you for your interest in avasoft. after careful preliminary evaluation, we regret to inform you that we will not be moving forward with your application at this time. this may be due to incomplete or inaccurate information, or the details not suiting the basic expectations of the job role, or other factors.
we appreciate your time and effort and wish you the best in your job search.
regards,
aishwarya kesavan
hr executive - avasoft
alpha city (sspdl), 3rd floor | beta block, navalur | ch – 600 130
www.avasoft.com (http://www.avasoft.com/)


the contents of this e-mail and any attachment(s) are confidential and intended for the named recipient(s) only. e-mail transmission is not guaranteed to be secure or error-free as information could be intercepted, corrupted, lost, destroyed, arrive late or incomplete, or may contain viruses in transmission. the email and its contents (with or without referred errors) shall therefore not attach any liability on the originator or avasoft or its affiliates. views or opinions, if any, presented in this email are solely those of the author and may not necessarily reflect the views or opinions of avasoft or its affiliates. any form of reproduction, dissemination, copying, disclosure, modification, distribution and / or publication of this message without the prior written consent of authorized representative of avasoft is strictly prohibited. if you have received this email in error please delete it and notify the sender immediately. before opening any email and/or attachments, please check them for viruses and other defects.l",FALSE,[],admin,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,2025-04-19T01:07:40.366831
